SKU,Name,Images
VV-005-003,"5mm braided cord (003) as Christmas Poppy",https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240301_085014574.MP_-scaled.jpg
VV-005-011,"5mm braided cord (011) as Chocolate with Whipped Cream","https://www.bigcord.eu/wp-content/uploads/2024/02/MG_8412.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-108,"5mm braided cord (108) as Marigold","https://www.bigcord.eu/wp-content/uploads/2024/04/PXL_20240416_133945016.MP_-scaled-e1713293153140.jpg, https://www.bigcord.eu/wp-content/uploads/2024/04/100-7.jpg"
VV-005-140,"5mm braided cord (140) as Pistachio",https://www.bigcord.eu/wp-content/uploads/2024/04/PXL_20240416_133908686.MP_-scaled-e1713293465772.jpg
VV-005-040,"5mm braided cord (040) as Sunflower","https://www.bigcord.eu/wp-content/uploads/2024/09/snezienka.jpg, https://www.bigcord.eu/wp-content/uploads/2024/09/PXL_20240904_113155183.MP_-scaled.jpg"
VV-005-025-1,"5mm braided cord (025) as Unicorn 2","https://www.bigcord.eu/wp-content/uploads/2024/09/unicorn2.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/PXL_20240906_122909992.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/09/PXL_20240905_105134799.MP2_.jpg"
VV-005-117,"5mm braided cord (117) as Hokkaido","https://www.bigcord.eu/wp-content/uploads/2024/10/PXL_20241003_144922207.MP2_-e1728029243420.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/MG_8429-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-7.jpg"
VV-005-133,"5mm braided cord (133) as Pansy","https://www.bigcord.eu/wp-content/uploads/2024/10/PXL_20241003_145016356.MP2_-e1728029014468.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-12.jpg"
VV-005-043,"5mm braided cord (043) as Pansy with Glitter","https://www.bigcord.eu/wp-content/uploads/2024/10/PXL_20241008_092532824.MP2_.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/PXL_20241008_092447581.MP_-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/PXL_20241008_092516570.MP_-scaled.jpg"
VV-005-013,"5mm braided cord (013) as Caramel with chocolate","https://www.bigcord.eu/wp-content/uploads/2024/10/MG_8413.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg"
VV-005-042,"5mm braided cord (042) as Christmas nougat","https://www.bigcord.eu/wp-content/uploads/2024/10/zlaty-nugat.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-2-1.jpg, https://www.bigcord.eu/wp-content/uploads/2024/10/100-16.jpg"
VV-005-113,"5mm braided cord (113) as Cinnamon","https://www.bigcord.eu/wp-content/uploads/2024/10/nugat5mm.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-2.jpg"
VV-005-005,"5mm braided cord (005) as Christmas Sapphire","https://www.bigcord.eu/wp-content/uploads/2024/11/vianicny-zafir.jpg, https://www.bigcord.eu/wp-content/uploads/2024/11/100-20.jpg"
VV-005-142,"5mm braided cord (142) as Sage","https://www.bigcord.eu/wp-content/uploads/2024/11/MG_8416.jpg, https://www.bigcord.eu/wp-content/uploads/2024/02/100-4.jpg, https://www.bigcord.eu/wp-content/uploads/2024/05/MG_8423-scaled.jpg"
VV-005-023,"5mm braided cord (023) as Monstera with Gold","https://www.bigcord.eu/wp-content/uploads/2024/11/Dark-Aesthetic-Beauty-Permanent-Makeup-Salon-Photo-Collage-Instagram-Post-9-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/11/100-20.jpg"
VV-005-041,"5mm braided cord (041) as Christmas Emerald","https://www.bigcord.eu/wp-content/uploads/2024/11/Dark-Aesthetic-Beauty-Permanent-Makeup-Salon-Photo-Collage-Instagram-Post-8-scaled.jpg, https://www.bigcord.eu/wp-content/uploads/2024/11/100-20.jpg"
VV-005-112,"5mm braided cord (112) as Dark Chestnut",https://www.bigcord.eu/wp-content/uploads/2024/11/Dizajn-bez-nazvu-4.jpg
VV-005-139,"5mm braided cord (139) as Petunia",https://www.bigcord.eu/wp-content/uploads/2025/04/PXL_20250408_112225631.jpg
VV-005-124,"5mm braided cord (124) as Violet",https://www.bigcord.eu/wp-content/uploads/2025/04/PXL_20250415_1233100862.jpg
VV-005-155,"5mm braided cord (030) as Rose Quartz with Glitter",https://www.bigcord.eu/wp-content/uploads/2025/05/PXL_20250528_114823697.MP2_.jpg
VV-005-048,"5mm braided cord (048) as Meadow with Glitters","https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20250618_103747848.MP2_.jpg, https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20250618_103846467.MP2-1.jpg"
VV-005-103,"5mm braided cord (103) as Mocha Mousse",https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20250618_103631552.MP2_.jpg
VV-005-027,"5mm braided cord (027) as Glacier Moraine","https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20240301_092732340.MP_-scaled-1.jpg, https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20250626_134459072.MP_.jpg, https://www.bigcord.eu/wp-content/uploads/2025/06/PXL_20250626_134453991.MP_.jpg"
VV-005-106,"5mm braided cord (106) as Caffe Latte",https://www.bigcord.eu/wp-content/uploads/2025/08/PXL_20250811_1339074952.jpg
VV-005-155,"5mm braided cord (155) as Aqua Mint",https://www.bigcord.eu/wp-content/uploads/2025/08/PXL_20250811_133829624.MP2_.jpg
VV-005-057,"5mm braided cord (057) as Mustard with Gold",https://www.bigcord.eu/wp-content/uploads/2025/12/Screenshot_20251202-232304.jpg
VV-005-059,"5mm braided cord (059) as Easter","https://www.bigcord.eu/wp-content/uploads/2026/01/PXL_20260128_100437900.MP2_.jpg, https://www.bigcord.eu/wp-content/uploads/2026/01/PXL_20260123_133233742.PORTRAIT.ORIGINAL2.jpg, https://www.bigcord.eu/wp-content/uploads/2026/01/PXL_20260123_133838576.MP3.jpg, https://www.bigcord.eu/wp-content/uploads/2026/01/PXL_20260128_100444585.MP2_.jpg"
